Time	Category	Latitude	Longitude
0.236111111	BURGLARY - RESIDENTIAL	37.863292	-122.256293
0.361111111	DISORDERLY CONDUCT	37.864826	-122.260719
0.142361111	BURGLARY - VEHICLE	37.867852	-122.279472
0.684722222	DISORDERLY CONDUCT	37.85874	-122.264108
0.208333333	LARCENY	37.857714	-122.288535
0.936805556	DRUG VIOLATION	37.853601	-122.287075
0.958333333	ROBBERY	37.874489	-122.271072
0.416666667	DISORDERLY CONDUCT	37.894548	-122.276089
0.53125	FRAUD	37.864625	-122.26229
0.451388889	DISORDERLY CONDUCT	37.850367	-122.272807
0.956944444	DISORDERLY CONDUCT	37.868119	-122.263888
0.6875	BURGLARY - VEHICLE	37.880274	-122.296831
0.916666667	BURGLARY - RESIDENTIAL	37.873642	-122.277854
0.541666667	BURGLARY - RESIDENTIAL	37.860172	-122.282847
0.333333333	BURGLARY - RESIDENTIAL	37.878386	-122.283778
0.375	VANDALISM	37.853576	-122.287202
0.447916667	DISORDERLY CONDUCT	37.849314	-122.279799
0.430555556	BURGLARY - RESIDENTIAL	37.878003	-122.282326
0.795138889	LARCENY	37.869888	-122.300618
0.375	BURGLARY - RESIDENTIAL	37.858525	-122.266906
0	VANDALISM	37.851928	-122.274017
0.029861111	LIQUOR LAW VIOLATION	37.867513	-122.26127
0.5	LARCENY	37.871822	-122.270562
0	VANDALISM	37.867708	-122.250801
0.708333333	SEX CRIME	37.867708	-122.250801
0.732638889	SEX CRIME	37.866327	-122.263359
0.057638889	BURGLARY - RESIDENTIAL	37.866513	-122.27474
0.395833333	LARCENY	37.855799	-122.252707
0.172222222	DRUG VIOLATION	37.856195	-122.288053
0.75	LARCENY	37.856181	-122.25973
0.875	LARCENY	37.870454	-122.252587
0.665277778	ASSAULT	37.868204	-122.270054
0.541666667	LARCENY	37.876384	-122.282714
0.996527778	LARCENY	37.874842	-122.263711
0.076388889	ASSAULT	37.868489	-122.26795
0.125	DISORDERLY CONDUCT	37.857788	-122.249754
0.242361111	ASSAULT	37.869363	-122.268028
0.971527778	WEAPONS OFFENSE	37.869314	-122.2981
0.791666667	VANDALISM	37.884513	-122.26275
0.083333333	LARCENY	37.865535	-122.255235
0.958333333	MOTOR VEHICLE THEFT	37.870538	-122.297407
0.697916667	LIQUOR LAW VIOLATION	37.870969	-122.266
0.747222222	ROBBERY	37.867513	-122.26127
0.044444444	DISORDERLY CONDUCT	37.865121	-122.258455
0.104166667	LIQUOR LAW VIOLATION	37.868512	-122.26781
0.416666667	FRAUD	37.881141	-122.275177
0.65625	VANDALISM	37.855435	-122.259841
0.742361111	FAMILY OFFENSE	37.864827	-122.258577
0.791666667	LARCENY	37.858116	-122.268002
0.7625	LIQUOR LAW VIOLATION	37.870295	-122.268146
0.972222222	LARCENY	37.861645	-122.253508
0.416666667	DISORDERLY CONDUCT	37.880027	-122.279976
0.833333333	LARCENY	37.870867	-122.270635
0.482638889	BURGLARY - VEHICLE	37.871306	-122.301072
0.044444444	NOISE VIOLATION	37.865121	-122.258455
0.9875	DISORDERLY CONDUCT	37.867717	-122.249901
0.567361111	WEAPONS OFFENSE	37.857054	-122.271393
0.888888889	LARCENY	37.862184	-122.293517
0.411111111	LARCENY	37.864535	-122.262993
0.245833333	WEAPONS OFFENSE	37.866375	-122.27016
0.774305556	FRAUD	37.882011	-122.276495
